x,y,Z,id,index,OBJECTID,Type,Shape_Le,Area_ft2,Update_Y,PARID,No_of_PARID,No. of housing units,VALUEYEA,FINALFULLB,LANDUSECOD,LANDUSEDES,YEARBUIL,BASEMENT,STORYHEIGHT,HEATEDSQUA,STRUCTURES1,STRUCTURET,HAZUS,type,STRUCTURES
77.5186149,34.44151549,0,1,1,17196,Building New,274.5669147,3326.702519,2016,"63872.0, 63873.0, 63874.0, 63875.0",4,4,2021,929960,16,Waterview,2003,NONE,2,6980,Beach Townhome,HARD BOARD (HARDY BOARD),C26,C26,Beach Townhome
77.51753919,34.4416612,0,2,2,17197,Building New,156.05022,1446.45333,2016,9789,1,1,2021,64780,15,Waterfront Ocean,1962,NONE,1,1214,Beach House,CEDAR/REDWOOD/CYPRESS, A70,A70,Beach House
77.5184842,34.44172138,0,3,3,17198,Building New,185.0650469,1805.217729,2016,21716,1,1,2021,164980,16,Waterview,2003,NONE,1,1806,Beach House,ALUMINUM/VINYL,A2,A2,Beach House
77.51827668,34.44177078,0,4,4,17199,Building New,116.6848471,809.5934136,2016,23583,1,1,2021,420490,16,Waterview,2020,PART,2,3734,Beach House,HARD BOARD (HARDY BOARD),A18,A18,Beach House
77.51880704,34.44173912,0,5,5,17200,Building New,274.5659976,3326.708935,2016,"63876.0, 63877.0, 63878.0, 63879.0",4,4,2021,940760,18,Townhome,2004,NONE,2,6980,Beach Townhome,HARD BOARD (HARDY BOARD),C26,C26,Beach Townhome
77.5181549,34.44189934,0,6,6,17201,Building New,197.2774514,2245.483477,2016,"14753.0, 35038.0",2,2,2021,259160,48,Waterview,1999,NONE,1,1760,Beach Duplex,ALUMINUM/VINYL, A66,A66,Beach Duplex
77.51796171,34.44196035,0,7,7,17202,Building New,185.1803809,2073.135265,2016,"25293.0, 29170.0",2,2,2021,190740,48,Waterview,1989,NONE,1,1780,Beach Duplex,ALUMINUM/VINYL, A70,A70,Beach Duplex
77.51901422,34.4419414,0,8,8,17203,Building New,436.4277565,5838.321049,2016,"72081.0, 72082.0, 72083.0, 72084.0, 72085.0, 72086.0, 72087.0, 72088.0",8,8,2021,2121000,0,Building Only (No Land),2006,NONE,3,11910,Beach Condo,"ALUMINUM,VINYL",C26,C26,Beach Condo
77.51780045,34.44206419,0,9,9,17204,Building New,210.3430471,2180.454774,2016,4037,1,1,2021,154960,16,Waterview,1987,NONE,1,1520,Beach House,CEDAR/REDWOOD/CYPRESS, A66,A66,Beach House
77.5176151,34.44212353,0,10,10,17205,Building New,189.8923061,2216.054464,2016,4038,1,1,2021,429600,16,Waterview,2006,PART,2,2833,Beach House,ALUMINUM/VINYL,A18,A18,Beach House
77.51746027,34.44222593,0,11,11,17206,Building New,161.8050005,1314.595525,2016,19539,1,1,2021,93670,16,Waterview,1971,NONE,1,840,Beach House,ALUMINUM/VINYL, A54,A54,Beach House
77.51667388,34.44221599,0,12,12,17207,Building New,163.0255474,1660.942728,2016,25515,1,1,2021,109380,15,Waterfront Ocean,1970,NONE,1,1236,Beach House,ALUMINUM/VINYL, A82,A82,Beach House
77.51731127,34.44235616,0,13,13,17208,Building New,264.9697058,2219.798454,2016,"158354.0, 5640.0",2,2,2021,545160,48,Waterview,2013,PART,2,4478,Beach Duplex,HARD BOARD (HARDY BOARD), A30,A30,Beach Duplex
77.51706479,34.44244094,0,14,14,17209,Building New,130.4627618,1056.704114,2016,13190,1,1,2021,414570,16,Waterview,2020,NONE,2,3340,Beach House,HARD BOARD (HARDY BOARD),A18,A18,Beach House
77.51681206,34.4426261,0,15,15,17210,Building New,148.267073,1357.451488,2016,10792,1,1,2021,167040,16,Waterview,1997,NONE,2,1426,Beach House,ALUMINUM/VINYL, A22,A22,Beach House
77.5175635,34.4434164,0,16,16,17214,Building New,162.0183868,1377.620989,2016,9658,1,1,2021,343360,1,Residential,2016,PART,2,2396,Beach House,ALUMINUM/VINYL, A30,A30,Beach House
77.52011598,34.44344006,0,17,17,17215,Building New,221.8668669,2558.786006,2016,28230,1,1,2021,241150,9,Waterfront Canal,2008,NONE,1,2280,Beach House,ALUMINUM/VINYL, A94,A94,Beach House
77.52021933,34.44354898,0,18,18,17218,Building New,219.2034301,2833.648931,2016,19545,1,1,2021,266980,9,Waterfront Canal,2010,PART,1,2088,Beach House,ALUMINUM/VINYL, A54,A54,Beach House
77.51903792,34.44363403,0,19,19,17221,Building New,167.7103989,1569.707482,2016,3367,1,1,2021,150040,1,Residential,2014,NONE,1,1200,Beach House,ALUMINUM/VINYL, A90,A90,Beach House
77.51935203,34.44385512,0,20,20,17226,Building New,180.7442083,1976.205081,2016,24660,1,1,2021,394700,9,Waterfront Canal,2013,PART,2,2977,Beach House,ALUMINUM/VINYL, A22,A22,Beach House
77.51945742,34.44398874,0,21,21,17228,Building New,158.7436987,1475.300846,2016,8744,1,1,2021,175880,9,Waterfront Canal,2019,NONE,1,1300,Beach House,ALUMINUM/VINYL, A14,A14,Beach House
77.52071651,34.44418622,0,22,22,17231,Building New,180.398113,1801.575529,2016,21128,1,1,2021,308670,9,Waterfront Canal,2013,PART,2,2421,Beach House,ALUMINUM/VINYL, A22,A22,Beach House
77.5208162,34.44430713,0,23,23,17237,Building New,210.268397,2657.629163,2016,1803,1,1,2021,231020,9,Waterfront Canal,2013,NONE,1,1716,Beach House,ALUMINUM/VINYL, A94,A94,Beach House
77.5193551,34.44457353,0,24,24,17242,Building New,206.4171654,2471.815499,2016,25737,1,1,2021,234000,9,Waterfront Canal,2012,PART,1,2124,Beach House,ALUMINUM/VINYL, A14,A14,Beach House
77.52008334,34.44471048,0,25,25,17243,Building New,172.5315746,1663.596272,2016,2550,1,1,2021,338230,9,Waterfront Canal,2016,PART,2,2690,Beach House,ALUMINUM/VINYL, A26,A26,Beach House
77.51507568,34.44478571,0,26,26,17247,Building New,162.1596607,1424.954216,2016,1811,1,1,2021,212190,1,Residential,2010,NONE,2,1568,Beach House,ALUMINUM/VINYL, A30,A30,Beach House
77.51804099,34.44511066,0,27,27,17250,Building New,198.6411055,2347.730568,2016,14713,1,1,2021,448170,9,Waterfront Canal,2012,PART,2,2955,Beach House,HARD BOARD (HARDY BOARD), A30,A30,Beach House
77.51557149,34.44520453,0,28,28,17251,Building New,168.9541363,1577.082264,2016,8463,1,1,2021,254300,1,Residential,2019,NONE,2,2137,Beach House,ALUMINUM/VINYL, A26,A26,Beach House
77.51658489,34.44539591,0,29,29,17257,Building New,183.1716218,1836.997623,2016,25077,1,1,2021,248810,9,Waterfront Canal,2011,NONE,1,2284,Beach House,ALUMINUM/VINYL, A102,A102,Beach House
77.52246625,34.44586887,0,30,30,17267,Building New,150.1430779,1336.697335,2016,1807,1,1,2021,139010,10,Waterfront Canal,2008,NONE,1,1004,Beach House,HARD BOARD (HARDY BOARD), A110,A110,Beach House
77.51699829,34.44590138,0,31,31,17271,Building New,171.4736045,1621.074292,2016,6994,1,1,2021,186960,9,Waterfront Canal,2006,PART,1,1782,Beach House,ALUMINUM/VINYL, A6,A6,Beach House
77.51590532,34.44593583,0,32,32,17272,Building New,263.2956842,2899.631529,2016,28158,1,1,2021,566120,9,Waterfront Canal,2006,NONE,2,3955,Beach House,HARD BOARD (HARDY BOARD),A18,A18,Beach House
77.52081559,34.44648312,0,34,33,17280,Building New,138.2047574,1111.248364,2016,4044,1,1,2021,222650,9,Waterfront Canal,2008,NONE,2,1883,Beach House,ALUMINUM/VINYL,A18,A18,Beach House
77.51567425,34.44643287,0,35,34,17282,Building New,187.1344668,2068.97491,2016,8318,1,1,2021,274770,9,Waterfront Canal,2014,NONE,1,1720,Beach House,ALUMINUM/VINYL, A10,A10,Beach House
77.51298455,34.44645034,0,36,35,17283,Building New,156.6080089,1517.456729,2016,3410,1,1,2021,230770,1,Residential,2013,NONE,2,1536,Beach House,ALUMINUM/VINYL, A26,A26,Beach House
77.52028024,34.44696796,0,38,36,17290,Building New,197.925918,1960.677011,2016,18238,1,1,2021,191990,9,Waterfront Canal,2011,NONE,1,1448,Beach House,HARD BOARD (HARDY BOARD), A86,A86,Beach House
77.51218295,34.44692817,0,39,37,17291,Building New,143.057692,1196.728835,2016,28115,1,1,2021,230810,1,Residential,2013,NONE,2,1632,Beach House,ALUMINUM/VINYL, A26,A26,Beach House
77.51852603,34.44704189,0,40,38,17292,Building New,170.509346,1755.549015,2016,17537,1,1,2021,288620,9,Waterfront Canal,2011,NONE,2,2270,Beach House,ALUMINUM/VINYL, A22,A22,Beach House
77.51498829,34.4469947,0,41,39,17293,Building New,224.9873967,2769.130652,2016,786,1,1,2021,265580,9,Waterfront Canal,2008,NONE,1,1842,Beach House,ALUMINUM/VINYL,A2,A2,Beach House
77.51106249,34.44708879,0,42,40,17295,Building New,139.2975926,1124.555688,2016,65350,1,1,2021,291610,16,Waterview,2014,NONE,3,2130,Beach House,ALUMINUM/VINYL,A18,A18,Beach House
77.50901937,34.44705138,0,43,41,17296,Building New,254.5796114,3239.390173,2016,37578,1,1,2021,869640,14,Waterfront Ocean,2007,NONE,3,5839,Beach House,ALUMINUM/VINYL, A30,A30,Beach House
77.51092469,34.44716917,0,44,42,17299,Building New,142.1291615,1189.571675,2016,65471,1,1,2021,292280,16,Waterview,2014,NONE,3,2130,Beach House,ALUMINUM/VINYL, A30,A30,Beach House
77.51313106,34.44728091,0,45,43,17301,Building New,175.6964212,1671.073091,2016,13624,1,1,2021,166510,1,Residential,2007,NONE,1,1400,Beach House,ALUMINUM/VINYL, A14,A14,Beach House
77.51133396,34.44738384,0,46,44,17303,Building New,141.4519897,1176.387549,2016,158561,1,1,2021,292200,12,Waterfront Sound,2014,NONE,3,2130,Beach House,ALUMINUM/VINYL, A30,A30,Beach House
77.51050667,34.44741826,0,47,45,17304,Building New,141.4557203,1172.387495,2016,65474,1,1,2021,291610,16,Waterview,2014,NONE,3,2130,Beach House,ALUMINUM/VINYL, A30,A30,Beach House
77.5112133,34.44746553,0,48,46,17306,Building New,139.8899258,1148.001125,2016,158562,1,1,2021,292330,12,Waterfront Sound,2014,NONE,3,2130,Beach House,ALUMINUM/VINYL, A30,A30,Beach House
77.51467885,34.44751147,0,49,47,17307,Building New,213.4365154,2532.689277,2016,12585,1,1,2021,201470,9,Waterfront Canal,2014,NONE,1,1704,Beach House,ALUMINUM/VINYL, A70,A70,Beach House
77.51036336,34.44750027,0,50,48,17308,Building New,138.0465343,1124.789593,2016,65475,1,1,2021,291610,16,Waterview,2014,NONE,3,2130,Beach House,ALUMINUM/VINYL, A30,A30,Beach House
77.51655751,34.44758278,0,51,49,17309,Building New,247.1346612,2905.391325,2016,1560,1,1,2021,646690,9,Waterfront Canal,2006,PART,2,3981,Beach House,HARD BOARD (HARDY BOARD), A22,A22,Beach House
77.51022895,34.44757944,0,52,50,17311,Building New,137.0794554,1104.791389,2016,158577,1,1,2021,291690,16,Waterview,2014,NONE,3,2130,Beach House,ALUMINUM/VINYL, A22,A22,Beach House
77.51667117,34.44769843,0,53,51,17314,Building New,196.4926687,2039.487817,2016,1561,1,1,2021,202580,9,Waterfront Canal,2013,NONE,1,1556,Beach House,ALUMINUM/VINYL, A94,A94,Beach House
77.51009541,34.44766086,0,54,52,17315,Building New,139.9976338,1146.258188,2016,158576,1,1,2021,292230,16,Waterview,2014,NONE,3,2130,Beach House,ALUMINUM/VINYL, A26,A26,Beach House
77.51560234,34.44775611,0,55,53,17318,Building New,199.9018952,2277.195577,2016,28328,1,1,2021,303300,9,Waterfront Canal,2008,PART,2,2575,Beach House,ALUMINUM/VINYL, A22,A22,Beach House
77.51076937,34.44773692,0,56,54,17319,Building New,139.5420652,1132.610961,2016,65479,1,1,2021,322430,12,Waterfront Sound,2014,NONE,3,2130,Beach House,ALUMINUM/VINYL,A18,A18,Beach House
77.50996089,34.4477401,0,57,55,17320,Building New,140.4045141,1157.143562,2016,158575,1,1,2021,305770,16,Waterview,2014,NONE,3,2130,Beach House,ALUMINUM/VINYL, A22,A22,Beach House
77.51062432,34.44781277,0,58,56,17322,Building New,141.3730826,1171.064369,2016,65478,1,1,2021,306580,12,Waterfront Sound,2014,NONE,3,2130,Beach House,ALUMINUM/VINYL, A26,A26,Beach House
77.50982432,34.44781944,0,59,57,17323,Building New,138.2223228,1121.739129,2016,158574,1,1,2021,292280,16,Waterview,2014,NONE,3,2130,Beach House,ALUMINUM/VINYL, A22,A22,Beach House
77.51570039,34.44788124,0,60,58,17324,Building New,213.2454105,2577.633782,2016,25371,1,1,2021,253600,9,Waterfront Canal,2014,NONE,1,1709,Beach House,ALUMINUM/VINYL, A78,A78,Beach House
77.50798369,34.44778479,0,61,59,17325,Building New,323.8630036,3155.188583,2016,"160152.0, 160153.0",2,2,2021,771070,48,Waterview,2015,NONE,2,5332,Beach House,ALUMINUM/VINYL, A22,A22,Beach House
77.50969496,34.44789781,0,62,60,17326,Building New,139.1580587,1127.898154,2016,158573,1,1,2021,307280,16,Waterview,2014,NONE,3,2130,Beach House,ALUMINUM/VINYL,A18,A18,Beach House
77.51049455,34.44790904,0,63,61,17327,Building New,139.5512907,1140.506319,2016,65477,1,1,2021,306440,12,Waterfront Sound,2014,NONE,3,2130,Beach House,ALUMINUM/VINYL, A30,A30,Beach House
77.50775221,34.44795112,0,64,62,17328,Building New,323.8635367,3155.192122,2016,"160823.0, 160824.0",2,2,2021,684200,48,Waterview,2015,NONE,2,5828,Beach Duplex,ALUMINUM/VINYL, A26,A26,Beach Duplex
77.51039565,34.44804026,0,65,63,17329,Building New,140.2258821,1153.898004,2016,65476,1,1,2021,308050,12,Waterfront Sound,2014,NONE,3,2130,Beach House,ALUMINUM/VINYL, A26,A26,Beach House
77.50827076,34.44805408,0,66,64,17330,Building New,202.1696445,2202.152704,2016,"155390.0, 155391.0",2,2,2021,397920,3,Residential,2011,NONE,2,2936,Beach Duplex,ALUMINUM/VINYL, A22,A22,Beach Duplex
77.51598172,34.44825649,0,67,65,17336,Building New,191.4243318,2029.141288,2016,182,1,1,2021,451520,9,Waterfront Canal,2010,PART,2,3290,Beach House,HARD BOARD (HARDY BOARD), A30,A30,Beach House
77.51312022,34.4482343,0,68,66,17337,Building New,152.3800743,1391.058315,2016,25211,1,1,2021,242770,1,Residential,2010,NONE,2,2114,Beach House,ALUMINUM/VINYL, A22,A22,Beach House
77.51027458,34.44819958,0,69,67,17338,Building New,143.8719083,1212.866681,2016,65482,1,1,2021,305740,12,Waterfront Sound,2014,NONE,3,2130,Beach House,ALUMINUM/VINYL, A30,A30,Beach House
77.51009245,34.44834242,0,70,68,17342,Building New,140.5225604,1154.382392,2016,158563,1,1,2021,314880,12,Waterfront Sound,2014,NONE,3,2130,Beach House,ALUMINUM/VINYL, A22,A22,Beach House
77.5207791,34.44850075,0,71,69,17343,Building New,194.21208,2091.787751,2016,11274,1,1,2021,186860,9,Waterfront Canal,1997,NONE,1,1232,Beach House,ALUMINUM/VINYL, A102,A102,Beach House
77.5190518,34.44855995,0,72,70,17346,Building New,230.4667022,2854.992392,2016,189,1,1,2021,425960,9,Waterfront Canal,2008,PART,2,4300,Beach House,ALUMINUM/VINYL,A18,A18,Beach House
77.51574956,34.44873243,0,73,71,17351,Building New,180.5404079,1989.199636,2016,18852,1,1,2021,258200,9,Waterfront Canal,1997,NONE,2,2367,Beach House,ALUMINUM/VINYL,A18,A18,Beach House
77.50598289,34.44860842,0,74,72,17352,Building New,166.6146948,1436.187025,2016,"71846.0, 71847.0",2,2,2021,469790,79,Waterfront Ocean,2006,PART,3,4094,Beach Duplex,ALUMINUM/VINYL,A18,A18,Beach Duplex
77.50784756,34.44909515,0,75,73,17356,Building New,166.2349427,1523.620479,2016,4603,1,1,2021,153880,2,Residential,2012,NONE,1,1200,Beach House,ALUMINUM/VINYL, A102,A102,Beach House
77.50754669,34.4491224,0,76,74,17357,Building New,134.5631816,1002.704262,2016,29973,1,1,2021,213670,1,Residential,2011,NONE,2,1520,Beach House,ALUMINUM/VINYL, A22,A22,Beach House
77.51616357,34.44924297,0,77,75,17358,Building New,169.2145547,1600.902708,2016,27613,1,1,2021,353210,9,Waterfront Canal,2014,NONE,2,2486,Beach House,ALUMINUM/VINYL, A30,A30,Beach House
77.50773889,34.44930738,0,78,76,17360,Building New,173.5046177,1602.494384,2016,29970,1,1,2021,167620,1,Residential,2011,NONE,1,1232,Beach House,ALUMINUM/VINYL, A94,A94,Beach House
77.51989667,34.44953108,0,79,77,17362,Building New,205.8428618,2389.174774,2016,21191,1,1,2021,218860,9,Waterfront Canal,2007,PART,1,1747,Beach House,HARD BOARD (HARDY BOARD), A110,A110,Beach House
77.51655153,34.44976725,0,80,78,17365,Building New,181.9252235,1776.394668,2016,26764,1,1,2021,165330,9,Waterfront Canal,2006,NONE,1,1296,Beach House,ALUMINUM/VINYL, A82,A82,Beach House
77.5200683,34.44981363,0,81,79,17366,Building New,182.5339212,2032.006689,2016,17989,1,1,2021,390330,9,Waterfront Canal,2014,PART,2,2677,Beach House,ALUMINUM/VINYL,A18,A18,Beach House
77.50705052,34.44967986,0,82,80,17367,Building New,129.6535123,1035.788756,2016,10907,1,1,2021,152500,1,Residential,2012,NONE,1,1198,Beach House,ALUMINUM/VINYL, A110,A110,Beach House
77.52089935,34.44989909,0,83,81,17369,Building New,196.309597,2216.456456,2016,10857,1,1,2021,403890,9,Waterfront Canal,2010,PART,2,3045,Beach House,ALUMINUM/VINYL, A26,A26,Beach House
77.51662721,34.44988098,0,84,82,17371,Building New,185.8358113,2088.919218,2016,17046,1,1,2021,268520,9,Waterfront Canal,2011,NONE,2,2400,Beach House,ALUMINUM/VINYL, A26,A26,Beach House
77.50447043,34.44990166,0,85,83,17374,Building New,139.5841868,1141.515177,2016,9797,1,1,2021,274770,16,Waterview,2012,NONE,3,2040,Beach House,ALUMINUM/VINYL, A22,A22,Beach House
77.51536115,34.45004364,0,86,84,17376,Building New,232.6559004,2766.643143,2016,26461,1,1,2021,278990,9,Waterfront Canal,2009,NONE,1,2878,Beach House,ALUMINUM/VINYL,A2,A2,Beach House
77.52132805,34.45039434,0,87,85,17378,Building New,158.5973482,1471.093602,2016,24826,1,1,2021,173450,10,Waterfront Canal,2012,NONE,1,1296,Beach House,ALUMINUM/VINYL, A6,A6,Beach House
77.51705639,34.45037335,0,88,86,17379,Building New,226.1516454,2761.433247,2016,26564,1,1,2021,308310,9,Waterfront Canal,1997,NONE,1,3495,Beach House,ALUMINUM/VINYL, A94,A94,Beach House
77.51716081,34.45051684,0,89,87,17382,Building New,150.9142256,1362.298566,2016,4639,1,1,2021,231790,9,Waterfront Canal,2012,NONE,2,1961,Beach House,ALUMINUM/VINYL, A26,A26,Beach House
77.50401419,34.45055465,0,90,88,17385,Building New,164.8045371,1546.737563,2016,19302,1,1,2021,391940,1,Residential,2010,NONE,2,3005,Beach House,ALUMINUM/VINYL, A30,A30,Beach House
